Year,# ,Jobs
1999,16,"Actress, Avon representative, business executive, Country Western singer, detective, fashion trend forecaster, florist, matador, NASCAR driver, outdoor beauty store worker, pilot, rock star, See's Candies cashier, sign language teacher, soccer player, tour guide"
2000,13,"Actress, bowler, cheerleader, elementary school teacher, fashion editor, fashion model, figure skater, Formula One driver, lute player, Olympic swimmer, pediatrician, Spanish language teacher, United States presidential candidate"
2001,9,"Actress, fashion designer, fashion model, McDonald's cashier, pediatrician, Pizza Hut cashier (playset), train conductor, train hostess, United States Air Force pilot"
2002,10,"Actress, art teacher, drum majorette, fashion designer, fashion model, Olympic figure skater, outdoor beauty store worker, pop singer, singer, spy"
2003,4,"Actress, dentist, fashion model, pediatrician"
2004,5,"Actress, bard, cowgirl, fashion model, United States presidential candidate"
2005,3,"Fashion model, film producer, veterinarian"
2006,13,"Ballerina, bake shop worker, business executive, cheerleader, fashion model, flight attendant, lounge singer, maid, nurse, pediatrician, school teacher, veterinarian, waitress"
2007,10,"Art teacher, ballet teacher, cabaret dancer, cheerleader, elementary school teacher, fashion model, jazz singer, make-up artist, secretary, usher"
2008,11,"Actress, artist, baby photographer, elementary school teacher, fashion model, pediatrician, pet boutique owner, showgirl, swim teacher, United States presidential candidate, veterinarian"
2009,12,"Actress, ballerina, can-can dancer, cat burglar, fashion model, gymnastics coach, nurse, pizza chef, preschool teacher, SeaWorld trainer, student teacher, TV chef"
2010,26,"Actress, architect, astronaut, babysitter, ballerina, ballet teacher, cheerleader, chef, circus performer, computer engineer, cooking teacher, dentist, doctor, elementary school teacher, equestrian (clothing pack only), fashion model, flight attendant, pediatrician, pop singer, news anchor, nurse, race car driver, rock star, school teacher, veterinarian, wild animal trainer (clothing pack only)"
2011,17,"Art teacher, can-can dancer, cheerleader (clothing pack only), dancer, elementary school teacher, fashion model, figure skater (clothing pack only), firefighter (clothing pack only), flight attendant (clothing pack only), gymnast (clothing pack only), lifeguard, nurse, pediatrician, pilot (clothing pack only), police officer (clothing pack only), skier, soccer player"
2012,30,"Actress, arctic animal rescuer, artist, astronaut (clothing pack only), ballerina, doctor, fashion designer, fashion model, fashion photographer, figure skater, flight attendant, floral designer, gymnast, marine biologist (clothing pack only), martial artist (clothing pack only), music teacher (clothing pack only), nurse, paleontologist, pancake chef, pilot, preschool teacher, skier, snowboarder, swimmer, tennis player, track-and-field runner, United States presidential candidate, veterinarian, waiter (clothing pack only), yoga teacher"
2013,22,"Actress, art teacher (clothing pack only), astronaut, babysitter, Canadian Mountie, cheerleader, dessert chef, doctor, dolphin trainer, elementary school teacher, SeaWorld trainer, fashion model, gymnastics coach, make-up artist, marine wildlife rescuer, pediatrician, pet groomer, rock star, singer, soccer player, sweet chef, violinist"
2014,20,"Astronaut (clothing pack only), babysitter, ballerina, ballroom dancer, cake baker, cheerleader, cookie chef, detective, entrepreneur, fashion model, figure skater (clothing pack only), hair stylist, lifeguard (clothing pack only), music teacher, nurse, pastry chef (clothing pack only), pilot, soccer player, tennis player, veterinarian"
2015,22,"Babysitter, ballerina, cupcake chef, dentist, doctor, eye doctor, elementary school teacher, fashion designer (clothing pack only), fashion model, figure skater, film director, firefighter, gymnast, hair stylist, lifeguard, nurse (clothing pack only), pediatrician, pilot, rock star, soccer player, spy, veterinarian"
2016,9,"Animal rescuer, fashion model, game developer, gymnastics coach, pediatrician, smoothie chef, United States presidential candidate, United States vice presidential candidate, veterinarian"
2017,14,"Astronaut, ballet teacher, English language teacher, eye doctor, fashion model, martial artist, musician, nurse, rhythmic gymnast, skateboarder, space scientist, spaghetti chef, tennis coach, waiter"
2018,15,"Artist, bakery chef, baseball player, basketball player, bee keeper, business executive, chemist, elementary school teacher, farmer, fashion model, golfer (clothing pack only), grocery store worker, robotics engineer, saxophonist (clothing pack only), TV news camerawoman"
2019,25,"Aircraft engineer, astrophysicist, cake baker, chef, chicken farmer, dentist, doctor, dog daycare owner, entomologist, fashion model, figure skating coach, flight attendant, gymnastics coach, musician, music teacher, judge, news anchor, photojournalist, pilot, pizza chef, polar marine biologist, pop singer, school teacher, soccer coach, swimmer, wildlife conservationist"
2020,26,"Art teacher, boxer, business executive (clothing pack only), campaign manager, campaign fundraiser, chef, coffee shop worker, construction worker (clothing pack only), doctor, farmer (playset), fashion model, food truck operator, gymnast, hockey player, musician (clothing pack only), noodle bar worker, Olympic climber, Olympic karate, Olympic skateboarder, Olympic softball player, Olympic surfer, park ranger, pediatrician, pet groomer (clothing pack only), tennis player, volleyball player"
2021,27,"Astronaut, bakery chef, beach snack stand worker, business executive, doctor, figure skater (clothing pack only), firefighter, florist, hair stylist, hockey player, keyboardist, lifeguard, music producer, Olympic swimmer, paramedic, pasta chef, pilot (clothing pack only), restaurant owner, rhythmic gymnast, rock star, school teacher (clothing pack only), science teacher, smoothie bar worker, veterinarian, violinist (clothing pack only), wilderness guide, zoologist"
2022,24,"Actress, artist, chef (clothing pack only), Chief Sustainability Officer, conservation scientist, elementary school teacher, farmer, farmer's market stall owner, fashion designer, fashion model, figure skater, interior designer, make-up artist, marine biologist, microbiologist, musician, para alpine skier, pet photographer, pilot, renewable energy engineer, snowboarder, soccer player, tennis player, tooth fairy"
2023,8,"Dentist, fashion boutique owner, panda rescuer, pastry chef, stylist, tennis player, volleyball player, wardrobe stylist"
